"year","line_number","line_desc","value","table_label","table_name","source"
1925,1,"Private fixed assets",7955,"private_lf_inv","FAAt604","API"
1926,1,"Private fixed assets",8524,"private_lf_inv","FAAt604","API"
1927,1,"Private fixed assets",8828,"private_lf_inv","FAAt604","API"
1928,1,"Private fixed assets",9076,"private_lf_inv","FAAt604","API"
1929,1,"Private fixed assets",9409,"private_lf_inv","FAAt604","API"
1930,1,"Private fixed assets",9219,"private_lf_inv","FAAt604","API"
1931,1,"Private fixed assets",8549,"private_lf_inv","FAAt604","API"
1932,1,"Private fixed assets",7464,"private_lf_inv","FAAt604","API"
1933,1,"Private fixed assets",7041,"private_lf_inv","FAAt604","API"
1934,1,"Private fixed assets",7288,"private_lf_inv","FAAt604","API"
1935,1,"Private fixed assets",7324,"private_lf_inv","FAAt604","API"
1936,1,"Private fixed assets",7508,"private_lf_inv","FAAt604","API"
1937,1,"Private fixed assets",8371,"private_lf_inv","FAAt604","API"
1938,1,"Private fixed assets",8580,"private_lf_inv","FAAt604","API"
1939,1,"Private fixed assets",8590,"private_lf_inv","FAAt604","API"
1940,1,"Private fixed assets",8976,"private_lf_inv","FAAt604","API"
1941,1,"Private fixed assets",9950,"private_lf_inv","FAAt604","API"
1942,1,"Private fixed assets",11246,"private_lf_inv","FAAt604","API"
1943,1,"Private fixed assets",11539,"private_lf_inv","FAAt604","API"
1944,1,"Private fixed assets",12038,"private_lf_inv","FAAt604","API"
1945,1,"Private fixed assets",12507,"private_lf_inv","FAAt604","API"
1946,1,"Private fixed assets",14247,"private_lf_inv","FAAt604","API"
1947,1,"Private fixed assets",17736,"private_lf_inv","FAAt604","API"
1948,1,"Private fixed assets",20821,"private_lf_inv","FAAt604","API"
1949,1,"Private fixed assets",22590,"private_lf_inv","FAAt604","API"
1950,1,"Private fixed assets",24334,"private_lf_inv","FAAt604","API"
1951,1,"Private fixed assets",27747,"private_lf_inv","FAAt604","API"
1952,1,"Private fixed assets",29544,"private_lf_inv","FAAt604","API"
1953,1,"Private fixed assets",31345,"private_lf_inv","FAAt604","API"
1954,1,"Private fixed assets",32959,"private_lf_inv","FAAt604","API"
1955,1,"Private fixed assets",34996,"private_lf_inv","FAAt604","API"
1956,1,"Private fixed assets",38812,"private_lf_inv","FAAt604","API"
1957,1,"Private fixed assets",42260,"private_lf_inv","FAAt604","API"
1958,1,"Private fixed assets",44911,"private_lf_inv","FAAt604","API"
1959,1,"Private fixed assets",46820,"private_lf_inv","FAAt604","API"
1960,1,"Private fixed assets",48210,"private_lf_inv","FAAt604","API"
1961,1,"Private fixed assets",49782,"private_lf_inv","FAAt604","API"
1962,1,"Private fixed assets",51796,"private_lf_inv","FAAt604","API"
1963,1,"Private fixed assets",54159,"private_lf_inv","FAAt604","API"
1964,1,"Private fixed assets",57277,"private_lf_inv","FAAt604","API"
1965,1,"Private fixed assets",61569,"private_lf_inv","FAAt604","API"
1966,1,"Private fixed assets",67173,"private_lf_inv","FAAt604","API"
1967,1,"Private fixed assets",73329,"private_lf_inv","FAAt604","API"
1968,1,"Private fixed assets",80604,"private_lf_inv","FAAt604","API"
1969,1,"Private fixed assets",89434,"private_lf_inv","FAAt604","API"
1970,1,"Private fixed assets",98261,"private_lf_inv","FAAt604","API"
1971,1,"Private fixed assets",107637,"private_lf_inv","FAAt604","API"
1972,1,"Private fixed assets",117495,"private_lf_inv","FAAt604","API"
1973,1,"Private fixed assets",131493,"private_lf_inv","FAAt604","API"
1974,1,"Private fixed assets",153159,"private_lf_inv","FAAt604","API"
1975,1,"Private fixed assets",178787,"private_lf_inv","FAAt604","API"
1976,1,"Private fixed assets",196508,"private_lf_inv","FAAt604","API"
1977,1,"Private fixed assets",221120,"private_lf_inv","FAAt604","API"
1978,1,"Private fixed assets",252105,"private_lf_inv","FAAt604","API"
1979,1,"Private fixed assets",290723,"private_lf_inv","FAAt604","API"
1980,1,"Private fixed assets",334967,"private_lf_inv","FAAt604","API"
1981,1,"Private fixed assets",381921,"private_lf_inv","FAAt604","API"
1982,1,"Private fixed assets",420389,"private_lf_inv","FAAt604","API"
1983,1,"Private fixed assets",438784,"private_lf_inv","FAAt604","API"
1984,1,"Private fixed assets",463508,"private_lf_inv","FAAt604","API"
1985,1,"Private fixed assets",496400,"private_lf_inv","FAAt604","API"
1986,1,"Private fixed assets",531562,"private_lf_inv","FAAt604","API"
1987,1,"Private fixed assets",566012,"private_lf_inv","FAAt604","API"
1988,1,"Private fixed assets",607911,"private_lf_inv","FAAt604","API"
1989,1,"Private fixed assets",649618,"private_lf_inv","FAAt604","API"
1990,1,"Private fixed assets",688395,"private_lf_inv","FAAt604","API"
1991,1,"Private fixed assets",721456,"private_lf_inv","FAAt604","API"
1992,1,"Private fixed assets",742886,"private_lf_inv","FAAt604","API"
1993,1,"Private fixed assets",778209,"private_lf_inv","FAAt604","API"
1994,1,"Private fixed assets",822507,"private_lf_inv","FAAt604","API"
1995,1,"Private fixed assets",880716,"private_lf_inv","FAAt604","API"
1996,1,"Private fixed assets",929122,"private_lf_inv","FAAt604","API"
1997,1,"Private fixed assets",987736,"private_lf_inv","FAAt604","API"
1998,1,"Private fixed assets",1052162,"private_lf_inv","FAAt604","API"
1999,1,"Private fixed assets",1132214,"private_lf_inv","FAAt604","API"
2000,1,"Private fixed assets",1231526,"private_lf_inv","FAAt604","API"
2001,1,"Private fixed assets",1311694,"private_lf_inv","FAAt604","API"
2002,1,"Private fixed assets",1361824,"private_lf_inv","FAAt604","API"
2003,1,"Private fixed assets",1411966,"private_lf_inv","FAAt604","API"
2004,1,"Private fixed assets",1497124,"private_lf_inv","FAAt604","API"
2005,1,"Private fixed assets",1622632,"private_lf_inv","FAAt604","API"
2006,1,"Private fixed assets",1751846,"private_lf_inv","FAAt604","API"
2007,1,"Private fixed assets",1852444,"private_lf_inv","FAAt604","API"
2008,1,"Private fixed assets",1931948,"private_lf_inv","FAAt604","API"
2009,1,"Private fixed assets",1928510,"private_lf_inv","FAAt604","API"
2010,1,"Private fixed assets",1933238,"private_lf_inv","FAAt604","API"
2011,1,"Private fixed assets",1997214,"private_lf_inv","FAAt604","API"
2012,1,"Private fixed assets",2081931,"private_lf_inv","FAAt604","API"
2013,1,"Private fixed assets",2176593,"private_lf_inv","FAAt604","API"
2014,1,"Private fixed assets",2301350,"private_lf_inv","FAAt604","API"
2015,1,"Private fixed assets",2397865,"private_lf_inv","FAAt604","API"
2016,1,"Private fixed assets",2475581,"private_lf_inv","FAAt604","API"
2017,1,"Private fixed assets",2599066,"private_lf_inv","FAAt604","API"
2018,1,"Private fixed assets",2737301,"private_lf_inv","FAAt604","API"
2019,1,"Private fixed assets",2879704,"private_lf_inv","FAAt604","API"
2020,1,"Private fixed assets",3005721,"private_lf_inv","FAAt604","API"
2021,1,"Private fixed assets",3211856,"private_lf_inv","FAAt604","API"
2022,1,"Private fixed assets",3578376,"private_lf_inv","FAAt604","API"
2023,1,"Private fixed assets",3800377,"private_lf_inv","FAAt604","API"
2024,1,"Private fixed assets",3992907,"private_lf_inv","FAAt604","API"
1925,2,"Corporate",4656,"private_lf_inv","FAAt604","API"
1926,2,"Corporate",4916,"private_lf_inv","FAAt604","API"
1927,2,"Corporate",5042,"private_lf_inv","FAAt604","API"
1928,2,"Corporate",5125,"private_lf_inv","FAAt604","API"
1929,2,"Corporate",5240,"private_lf_inv","FAAt604","API"
1930,2,"Corporate",5091,"private_lf_inv","FAAt604","API"
1931,2,"Corporate",4762,"private_lf_inv","FAAt604","API"
1932,2,"Corporate",4249,"private_lf_inv","FAAt604","API"
1933,2,"Corporate",4018,"private_lf_inv","FAAt604","API"
1934,2,"Corporate",4114,"private_lf_inv","FAAt604","API"
1935,2,"Corporate",4193,"private_lf_inv","FAAt604","API"
1936,2,"Corporate",4257,"private_lf_inv","FAAt604","API"
1937,2,"Corporate",4755,"private_lf_inv","FAAt604","API"
1938,2,"Corporate",4829,"private_lf_inv","FAAt604","API"
1939,2,"Corporate",4832,"private_lf_inv","FAAt604","API"
1940,2,"Corporate",5050,"private_lf_inv","FAAt604","API"
1941,2,"Corporate",5594,"private_lf_inv","FAAt604","API"
1942,2,"Corporate",6401,"private_lf_inv","FAAt604","API"
1943,2,"Corporate",6565,"private_lf_inv","FAAt604","API"
1944,2,"Corporate",6760,"private_lf_inv","FAAt604","API"
1945,2,"Corporate",6982,"private_lf_inv","FAAt604","API"
1946,2,"Corporate",8015,"private_lf_inv","FAAt604","API"
1947,2,"Corporate",9816,"private_lf_inv","FAAt604","API"
1948,2,"Corporate",11506,"private_lf_inv","FAAt604","API"
1949,2,"Corporate",12432,"private_lf_inv","FAAt604","API"
1950,2,"Corporate",13307,"private_lf_inv","FAAt604","API"
1951,2,"Corporate",15158,"private_lf_inv","FAAt604","API"
1952,2,"Corporate",16140,"private_lf_inv","FAAt604","API"
1953,2,"Corporate",17321,"private_lf_inv","FAAt604","API"
1954,2,"Corporate",18362,"private_lf_inv","FAAt604","API"
1955,2,"Corporate",19585,"private_lf_inv","FAAt604","API"
1956,2,"Corporate",22116,"private_lf_inv","FAAt604","API"
1957,2,"Corporate",24593,"private_lf_inv","FAAt604","API"
1958,2,"Corporate",26425,"private_lf_inv","FAAt604","API"
1959,2,"Corporate",27653,"private_lf_inv","FAAt604","API"
1960,2,"Corporate",28521,"private_lf_inv","FAAt604","API"
1961,2,"Corporate",29559,"private_lf_inv","FAAt604","API"
1962,2,"Corporate",30877,"private_lf_inv","FAAt604","API"
1963,2,"Corporate",32457,"private_lf_inv","FAAt604","API"
1964,2,"Corporate",34457,"private_lf_inv","FAAt604","API"
1965,2,"Corporate",37189,"private_lf_inv","FAAt604","API"
1966,2,"Corporate",40912,"private_lf_inv","FAAt604","API"
1967,2,"Corporate",45154,"private_lf_inv","FAAt604","API"
1968,2,"Corporate",50055,"private_lf_inv","FAAt604","API"
1969,2,"Corporate",55774,"private_lf_inv","FAAt604","API"
1970,2,"Corporate",61888,"private_lf_inv","FAAt604","API"
1971,2,"Corporate",67722,"private_lf_inv","FAAt604","API"
1972,2,"Corporate",73569,"private_lf_inv","FAAt604","API"
1973,2,"Corporate",82143,"private_lf_inv","FAAt604","API"
1974,2,"Corporate",96241,"private_lf_inv","FAAt604","API"
1975,2,"Corporate",113760,"private_lf_inv","FAAt604","API"
1976,2,"Corporate",125314,"private_lf_inv","FAAt604","API"
1977,2,"Corporate",140799,"private_lf_inv","FAAt604","API"
1978,2,"Corporate",159693,"private_lf_inv","FAAt604","API"
1979,2,"Corporate",183846,"private_lf_inv","FAAt604","API"
1980,2,"Corporate",212651,"private_lf_inv","FAAt604","API"
1981,2,"Corporate",245507,"private_lf_inv","FAAt604","API"
1982,2,"Corporate",273224,"private_lf_inv","FAAt604","API"
1983,2,"Corporate",286630,"private_lf_inv","FAAt604","API"
1984,2,"Corporate",303950,"private_lf_inv","FAAt604","API"
1985,2,"Corporate",327679,"private_lf_inv","FAAt604","API"
1986,2,"Corporate",350721,"private_lf_inv","FAAt604","API"
1987,2,"Corporate",372009,"private_lf_inv","FAAt604","API"
1988,2,"Corporate",399854,"private_lf_inv","FAAt604","API"
1989,2,"Corporate",427148,"private_lf_inv","FAAt604","API"
1990,2,"Corporate",454686,"private_lf_inv","FAAt604","API"
1991,2,"Corporate",479628,"private_lf_inv","FAAt604","API"
1992,2,"Corporate",494349,"private_lf_inv","FAAt604","API"
1993,2,"Corporate",517187,"private_lf_inv","FAAt604","API"
1994,2,"Corporate",547585,"private_lf_inv","FAAt604","API"
1995,2,"Corporate",590418,"private_lf_inv","FAAt604","API"
1996,2,"Corporate",626340,"private_lf_inv","FAAt604","API"
1997,2,"Corporate",670041,"private_lf_inv","FAAt604","API"
1998,2,"Corporate",714984,"private_lf_inv","FAAt604","API"
1999,2,"Corporate",769635,"private_lf_inv","FAAt604","API"
2000,2,"Corporate",838620,"private_lf_inv","FAAt604","API"
2001,2,"Corporate",888572,"private_lf_inv","FAAt604","API"
2002,2,"Corporate",914587,"private_lf_inv","FAAt604","API"
2003,2,"Corporate",932541,"private_lf_inv","FAAt604","API"
2004,2,"Corporate",973014,"private_lf_inv","FAAt604","API"
2005,2,"Corporate",1042069,"private_lf_inv","FAAt604","API"
2006,2,"Corporate",1119303,"private_lf_inv","FAAt604","API"
2007,2,"Corporate",1188944,"private_lf_inv","FAAt604","API"
2008,2,"Corporate",1256741,"private_lf_inv","FAAt604","API"
2009,2,"Corporate",1263659,"private_lf_inv","FAAt604","API"
2010,2,"Corporate",1270714,"private_lf_inv","FAAt604","API"
2011,2,"Corporate",1324537,"private_lf_inv","FAAt604","API"
2012,2,"Corporate",1392029,"private_lf_inv","FAAt604","API"
2013,2,"Corporate",1447694,"private_lf_inv","FAAt604","API"
2014,2,"Corporate",1524311,"private_lf_inv","FAAt604","API"
2015,2,"Corporate",1587221,"private_lf_inv","FAAt604","API"
2016,2,"Corporate",1629907,"private_lf_inv","FAAt604","API"
2017,2,"Corporate",1709313,"private_lf_inv","FAAt604","API"
2018,2,"Corporate",1793566,"private_lf_inv","FAAt604","API"
2019,2,"Corporate",1891831,"private_lf_inv","FAAt604","API"
2020,2,"Corporate",1968202,"private_lf_inv","FAAt604","API"
2021,2,"Corporate",2070269,"private_lf_inv","FAAt604","API"
2022,2,"Corporate",2287902,"private_lf_inv","FAAt604","API"
2023,2,"Corporate",2447353,"private_lf_inv","FAAt604","API"
2024,2,"Corporate",2583318,"private_lf_inv","FAAt604","API"
