"year","line_number","line_desc","value","table_label","table_name","source"
1925,1,"Private fixed assets",10.686,"private_lf_net_chain","FAAt602","API"
1926,1,"Private fixed assets",11.123,"private_lf_net_chain","FAAt602","API"
1927,1,"Private fixed assets",11.514,"private_lf_net_chain","FAAt602","API"
1928,1,"Private fixed assets",11.876,"private_lf_net_chain","FAAt602","API"
1929,1,"Private fixed assets",12.194,"private_lf_net_chain","FAAt602","API"
1930,1,"Private fixed assets",12.351,"private_lf_net_chain","FAAt602","API"
1931,1,"Private fixed assets",12.35,"private_lf_net_chain","FAAt602","API"
1932,1,"Private fixed assets",12.221,"private_lf_net_chain","FAAt602","API"
1933,1,"Private fixed assets",12.064,"private_lf_net_chain","FAAt602","API"
1934,1,"Private fixed assets",11.961,"private_lf_net_chain","FAAt602","API"
1935,1,"Private fixed assets",11.918,"private_lf_net_chain","FAAt602","API"
1936,1,"Private fixed assets",11.964,"private_lf_net_chain","FAAt602","API"
1937,1,"Private fixed assets",12.069,"private_lf_net_chain","FAAt602","API"
1938,1,"Private fixed assets",12.103,"private_lf_net_chain","FAAt602","API"
1939,1,"Private fixed assets",12.195,"private_lf_net_chain","FAAt602","API"
1940,1,"Private fixed assets",12.351,"private_lf_net_chain","FAAt602","API"
1941,1,"Private fixed assets",12.557,"private_lf_net_chain","FAAt602","API"
1942,1,"Private fixed assets",12.542,"private_lf_net_chain","FAAt602","API"
1943,1,"Private fixed assets",12.449,"private_lf_net_chain","FAAt602","API"
1944,1,"Private fixed assets",12.417,"private_lf_net_chain","FAAt602","API"
1945,1,"Private fixed assets",12.477,"private_lf_net_chain","FAAt602","API"
1946,1,"Private fixed assets",12.842,"private_lf_net_chain","FAAt602","API"
1947,1,"Private fixed assets",13.383,"private_lf_net_chain","FAAt602","API"
1948,1,"Private fixed assets",13.984,"private_lf_net_chain","FAAt602","API"
1949,1,"Private fixed assets",14.464,"private_lf_net_chain","FAAt602","API"
1950,1,"Private fixed assets",15.109,"private_lf_net_chain","FAAt602","API"
1951,1,"Private fixed assets",15.674,"private_lf_net_chain","FAAt602","API"
1952,1,"Private fixed assets",16.206,"private_lf_net_chain","FAAt602","API"
1953,1,"Private fixed assets",16.791,"private_lf_net_chain","FAAt602","API"
1954,1,"Private fixed assets",17.367,"private_lf_net_chain","FAAt602","API"
1955,1,"Private fixed assets",18.065,"private_lf_net_chain","FAAt602","API"
1956,1,"Private fixed assets",18.753,"private_lf_net_chain","FAAt602","API"
1957,1,"Private fixed assets",19.396,"private_lf_net_chain","FAAt602","API"
1958,1,"Private fixed assets",19.911,"private_lf_net_chain","FAAt602","API"
1959,1,"Private fixed assets",20.573,"private_lf_net_chain","FAAt602","API"
1960,1,"Private fixed assets",21.23,"private_lf_net_chain","FAAt602","API"
1961,1,"Private fixed assets",21.868,"private_lf_net_chain","FAAt602","API"
1962,1,"Private fixed assets",22.607,"private_lf_net_chain","FAAt602","API"
1963,1,"Private fixed assets",23.428,"private_lf_net_chain","FAAt602","API"
1964,1,"Private fixed assets",24.368,"private_lf_net_chain","FAAt602","API"
1965,1,"Private fixed assets",25.443,"private_lf_net_chain","FAAt602","API"
1966,1,"Private fixed assets",26.558,"private_lf_net_chain","FAAt602","API"
1967,1,"Private fixed assets",27.569,"private_lf_net_chain","FAAt602","API"
1968,1,"Private fixed assets",28.658,"private_lf_net_chain","FAAt602","API"
1969,1,"Private fixed assets",29.804,"private_lf_net_chain","FAAt602","API"
1970,1,"Private fixed assets",30.815,"private_lf_net_chain","FAAt602","API"
1971,1,"Private fixed assets",31.917,"private_lf_net_chain","FAAt602","API"
1972,1,"Private fixed assets",33.215,"private_lf_net_chain","FAAt602","API"
1973,1,"Private fixed assets",34.656,"private_lf_net_chain","FAAt602","API"
1974,1,"Private fixed assets",35.827,"private_lf_net_chain","FAAt602","API"
1975,1,"Private fixed assets",36.656,"private_lf_net_chain","FAAt602","API"
1976,1,"Private fixed assets",37.659,"private_lf_net_chain","FAAt602","API"
1977,1,"Private fixed assets",38.952,"private_lf_net_chain","FAAt602","API"
1978,1,"Private fixed assets",40.489,"private_lf_net_chain","FAAt602","API"
1979,1,"Private fixed assets",42.092,"private_lf_net_chain","FAAt602","API"
1980,1,"Private fixed assets",43.357,"private_lf_net_chain","FAAt602","API"
1981,1,"Private fixed assets",44.61,"private_lf_net_chain","FAAt602","API"
1982,1,"Private fixed assets",45.53,"private_lf_net_chain","FAAt602","API"
1983,1,"Private fixed assets",46.602,"private_lf_net_chain","FAAt602","API"
1984,1,"Private fixed assets",48.123,"private_lf_net_chain","FAAt602","API"
1985,1,"Private fixed assets",49.713,"private_lf_net_chain","FAAt602","API"
1986,1,"Private fixed assets",51.236,"private_lf_net_chain","FAAt602","API"
1987,1,"Private fixed assets",52.68,"private_lf_net_chain","FAAt602","API"
1988,1,"Private fixed assets",54.124,"private_lf_net_chain","FAAt602","API"
1989,1,"Private fixed assets",55.53,"private_lf_net_chain","FAAt602","API"
1990,1,"Private fixed assets",56.804,"private_lf_net_chain","FAAt602","API"
1991,1,"Private fixed assets",57.74,"private_lf_net_chain","FAAt602","API"
1992,1,"Private fixed assets",58.717,"private_lf_net_chain","FAAt602","API"
1993,1,"Private fixed assets",59.979,"private_lf_net_chain","FAAt602","API"
1994,1,"Private fixed assets",61.393,"private_lf_net_chain","FAAt602","API"
1995,1,"Private fixed assets",62.979,"private_lf_net_chain","FAAt602","API"
1996,1,"Private fixed assets",64.82,"private_lf_net_chain","FAAt602","API"
1997,1,"Private fixed assets",66.844,"private_lf_net_chain","FAAt602","API"
1998,1,"Private fixed assets",69.136,"private_lf_net_chain","FAAt602","API"
1999,1,"Private fixed assets",71.602,"private_lf_net_chain","FAAt602","API"
2000,1,"Private fixed assets",74.175,"private_lf_net_chain","FAAt602","API"
2001,1,"Private fixed assets",76.291,"private_lf_net_chain","FAAt602","API"
2002,1,"Private fixed assets",78.038,"private_lf_net_chain","FAAt602","API"
2003,1,"Private fixed assets",79.896,"private_lf_net_chain","FAAt602","API"
2004,1,"Private fixed assets",81.932,"private_lf_net_chain","FAAt602","API"
2005,1,"Private fixed assets",84.021,"private_lf_net_chain","FAAt602","API"
2006,1,"Private fixed assets",86.319,"private_lf_net_chain","FAAt602","API"
2007,1,"Private fixed assets",88.304,"private_lf_net_chain","FAAt602","API"
2008,1,"Private fixed assets",89.687,"private_lf_net_chain","FAAt602","API"
2009,1,"Private fixed assets",90.02,"private_lf_net_chain","FAAt602","API"
2010,1,"Private fixed assets",90.472,"private_lf_net_chain","FAAt602","API"
2011,1,"Private fixed assets",91.204,"private_lf_net_chain","FAAt602","API"
2012,1,"Private fixed assets",92.244,"private_lf_net_chain","FAAt602","API"
2013,1,"Private fixed assets",93.579,"private_lf_net_chain","FAAt602","API"
2014,1,"Private fixed assets",95.167,"private_lf_net_chain","FAAt602","API"
2015,1,"Private fixed assets",96.829,"private_lf_net_chain","FAAt602","API"
2016,1,"Private fixed assets",98.47,"private_lf_net_chain","FAAt602","API"
2017,1,"Private fixed assets",100,"private_lf_net_chain","FAAt602","API"
2018,1,"Private fixed assets",101.8,"private_lf_net_chain","FAAt602","API"
2019,1,"Private fixed assets",103.668,"private_lf_net_chain","FAAt602","API"
2020,1,"Private fixed assets",105.166,"private_lf_net_chain","FAAt602","API"
2021,1,"Private fixed assets",106.89,"private_lf_net_chain","FAAt602","API"
2022,1,"Private fixed assets",108.542,"private_lf_net_chain","FAAt602","API"
2023,1,"Private fixed assets",110.346,"private_lf_net_chain","FAAt602","API"
2024,1,"Private fixed assets",112.15,"private_lf_net_chain","FAAt602","API"
1925,2,"Corporate",9.183,"private_lf_net_chain","FAAt602","API"
1926,2,"Corporate",9.474,"private_lf_net_chain","FAAt602","API"
1927,2,"Corporate",9.718,"private_lf_net_chain","FAAt602","API"
1928,2,"Corporate",9.962,"private_lf_net_chain","FAAt602","API"
1929,2,"Corporate",10.266,"private_lf_net_chain","FAAt602","API"
1930,2,"Corporate",10.453,"private_lf_net_chain","FAAt602","API"
1931,2,"Corporate",10.425,"private_lf_net_chain","FAAt602","API"
1932,2,"Corporate",10.276,"private_lf_net_chain","FAAt602","API"
1933,2,"Corporate",10.108,"private_lf_net_chain","FAAt602","API"
1934,2,"Corporate",10.004,"private_lf_net_chain","FAAt602","API"
1935,2,"Corporate",9.943,"private_lf_net_chain","FAAt602","API"
1936,2,"Corporate",9.984,"private_lf_net_chain","FAAt602","API"
1937,2,"Corporate",10.112,"private_lf_net_chain","FAAt602","API"
1938,2,"Corporate",10.118,"private_lf_net_chain","FAAt602","API"
1939,2,"Corporate",10.143,"private_lf_net_chain","FAAt602","API"
1940,2,"Corporate",10.251,"private_lf_net_chain","FAAt602","API"
1941,2,"Corporate",10.425,"private_lf_net_chain","FAAt602","API"
1942,2,"Corporate",10.409,"private_lf_net_chain","FAAt602","API"
1943,2,"Corporate",10.321,"private_lf_net_chain","FAAt602","API"
1944,2,"Corporate",10.328,"private_lf_net_chain","FAAt602","API"
1945,2,"Corporate",10.48,"private_lf_net_chain","FAAt602","API"
1946,2,"Corporate",10.783,"private_lf_net_chain","FAAt602","API"
1947,2,"Corporate",11.228,"private_lf_net_chain","FAAt602","API"
1948,2,"Corporate",11.663,"private_lf_net_chain","FAAt602","API"
1949,2,"Corporate",11.948,"private_lf_net_chain","FAAt602","API"
1950,2,"Corporate",12.274,"private_lf_net_chain","FAAt602","API"
1951,2,"Corporate",12.673,"private_lf_net_chain","FAAt602","API"
1952,2,"Corporate",13.094,"private_lf_net_chain","FAAt602","API"
1953,2,"Corporate",13.574,"private_lf_net_chain","FAAt602","API"
1954,2,"Corporate",13.98,"private_lf_net_chain","FAAt602","API"
1955,2,"Corporate",14.449,"private_lf_net_chain","FAAt602","API"
1956,2,"Corporate",15.044,"private_lf_net_chain","FAAt602","API"
1957,2,"Corporate",15.631,"private_lf_net_chain","FAAt602","API"
1958,2,"Corporate",15.973,"private_lf_net_chain","FAAt602","API"
1959,2,"Corporate",16.378,"private_lf_net_chain","FAAt602","API"
1960,2,"Corporate",16.882,"private_lf_net_chain","FAAt602","API"
1961,2,"Corporate",17.351,"private_lf_net_chain","FAAt602","API"
1962,2,"Corporate",17.899,"private_lf_net_chain","FAAt602","API"
1963,2,"Corporate",18.478,"private_lf_net_chain","FAAt602","API"
1964,2,"Corporate",19.207,"private_lf_net_chain","FAAt602","API"
1965,2,"Corporate",20.194,"private_lf_net_chain","FAAt602","API"
1966,2,"Corporate",21.4,"private_lf_net_chain","FAAt602","API"
1967,2,"Corporate",22.493,"private_lf_net_chain","FAAt602","API"
1968,2,"Corporate",23.624,"private_lf_net_chain","FAAt602","API"
1969,2,"Corporate",24.818,"private_lf_net_chain","FAAt602","API"
1970,2,"Corporate",25.834,"private_lf_net_chain","FAAt602","API"
1971,2,"Corporate",26.735,"private_lf_net_chain","FAAt602","API"
1972,2,"Corporate",27.784,"private_lf_net_chain","FAAt602","API"
1973,2,"Corporate",29.08,"private_lf_net_chain","FAAt602","API"
1974,2,"Corporate",30.343,"private_lf_net_chain","FAAt602","API"
1975,2,"Corporate",31.173,"private_lf_net_chain","FAAt602","API"
1976,2,"Corporate",32.074,"private_lf_net_chain","FAAt602","API"
1977,2,"Corporate",33.204,"private_lf_net_chain","FAAt602","API"
1978,2,"Corporate",34.664,"private_lf_net_chain","FAAt602","API"
1979,2,"Corporate",36.317,"private_lf_net_chain","FAAt602","API"
1980,2,"Corporate",37.844,"private_lf_net_chain","FAAt602","API"
1981,2,"Corporate",39.408,"private_lf_net_chain","FAAt602","API"
1982,2,"Corporate",40.644,"private_lf_net_chain","FAAt602","API"
1983,2,"Corporate",41.749,"private_lf_net_chain","FAAt602","API"
1984,2,"Corporate",43.417,"private_lf_net_chain","FAAt602","API"
1985,2,"Corporate",45.176,"private_lf_net_chain","FAAt602","API"
1986,2,"Corporate",46.604,"private_lf_net_chain","FAAt602","API"
1987,2,"Corporate",47.811,"private_lf_net_chain","FAAt602","API"
1988,2,"Corporate",49.034,"private_lf_net_chain","FAAt602","API"
1989,2,"Corporate",50.379,"private_lf_net_chain","FAAt602","API"
1990,2,"Corporate",51.808,"private_lf_net_chain","FAAt602","API"
1991,2,"Corporate",52.857,"private_lf_net_chain","FAAt602","API"
1992,2,"Corporate",53.892,"private_lf_net_chain","FAAt602","API"
1993,2,"Corporate",55.201,"private_lf_net_chain","FAAt602","API"
1994,2,"Corporate",56.7,"private_lf_net_chain","FAAt602","API"
1995,2,"Corporate",58.587,"private_lf_net_chain","FAAt602","API"
1996,2,"Corporate",60.788,"private_lf_net_chain","FAAt602","API"
1997,2,"Corporate",63.257,"private_lf_net_chain","FAAt602","API"
1998,2,"Corporate",65.968,"private_lf_net_chain","FAAt602","API"
1999,2,"Corporate",68.909,"private_lf_net_chain","FAAt602","API"
2000,2,"Corporate",72.05,"private_lf_net_chain","FAAt602","API"
2001,2,"Corporate",74.289,"private_lf_net_chain","FAAt602","API"
2002,2,"Corporate",75.493,"private_lf_net_chain","FAAt602","API"
2003,2,"Corporate",76.671,"private_lf_net_chain","FAAt602","API"
2004,2,"Corporate",77.994,"private_lf_net_chain","FAAt602","API"
2005,2,"Corporate",79.57,"private_lf_net_chain","FAAt602","API"
2006,2,"Corporate",81.603,"private_lf_net_chain","FAAt602","API"
2007,2,"Corporate",83.841,"private_lf_net_chain","FAAt602","API"
2008,2,"Corporate",85.718,"private_lf_net_chain","FAAt602","API"
2009,2,"Corporate",86.025,"private_lf_net_chain","FAAt602","API"
2010,2,"Corporate",86.732,"private_lf_net_chain","FAAt602","API"
2011,2,"Corporate",88.014,"private_lf_net_chain","FAAt602","API"
2012,2,"Corporate",89.751,"private_lf_net_chain","FAAt602","API"
2013,2,"Corporate",91.488,"private_lf_net_chain","FAAt602","API"
2014,2,"Corporate",93.79,"private_lf_net_chain","FAAt602","API"
2015,2,"Corporate",95.91,"private_lf_net_chain","FAAt602","API"
2016,2,"Corporate",97.974,"private_lf_net_chain","FAAt602","API"
2017,2,"Corporate",100,"private_lf_net_chain","FAAt602","API"
2018,2,"Corporate",102.555,"private_lf_net_chain","FAAt602","API"
2019,2,"Corporate",104.955,"private_lf_net_chain","FAAt602","API"
2020,2,"Corporate",106.416,"private_lf_net_chain","FAAt602","API"
2021,2,"Corporate",108.238,"private_lf_net_chain","FAAt602","API"
2022,2,"Corporate",110.338,"private_lf_net_chain","FAAt602","API"
2023,2,"Corporate",112.953,"private_lf_net_chain","FAAt602","API"
2024,2,"Corporate",115.52,"private_lf_net_chain","FAAt602","API"
1925,3,"Financial",2.183,"private_lf_net_chain","FAAt602","API"
1926,3,"Financial",2.264,"private_lf_net_chain","FAAt602","API"
1927,3,"Financial",2.357,"private_lf_net_chain","FAAt602","API"
1928,3,"Financial",2.456,"private_lf_net_chain","FAAt602","API"
1929,3,"Financial",2.607,"private_lf_net_chain","FAAt602","API"
1930,3,"Financial",2.702,"private_lf_net_chain","FAAt602","API"
1931,3,"Financial",2.723,"private_lf_net_chain","FAAt602","API"
1932,3,"Financial",2.697,"private_lf_net_chain","FAAt602","API"
1933,3,"Financial",2.648,"private_lf_net_chain","FAAt602","API"
1934,3,"Financial",2.618,"private_lf_net_chain","FAAt602","API"
1935,3,"Financial",2.602,"private_lf_net_chain","FAAt602","API"
1936,3,"Financial",2.609,"private_lf_net_chain","FAAt602","API"
1937,3,"Financial",2.639,"private_lf_net_chain","FAAt602","API"
1938,3,"Financial",2.618,"private_lf_net_chain","FAAt602","API"
1939,3,"Financial",2.608,"private_lf_net_chain","FAAt602","API"
1940,3,"Financial",2.634,"private_lf_net_chain","FAAt602","API"
1941,3,"Financial",2.701,"private_lf_net_chain","FAAt602","API"
1942,3,"Financial",2.634,"private_lf_net_chain","FAAt602","API"
1943,3,"Financial",2.545,"private_lf_net_chain","FAAt602","API"
1944,3,"Financial",2.456,"private_lf_net_chain","FAAt602","API"
1945,3,"Financial",2.398,"private_lf_net_chain","FAAt602","API"
1946,3,"Financial",2.487,"private_lf_net_chain","FAAt602","API"
1947,3,"Financial",2.558,"private_lf_net_chain","FAAt602","API"
1948,3,"Financial",2.628,"private_lf_net_chain","FAAt602","API"
1949,3,"Financial",2.693,"private_lf_net_chain","FAAt602","API"
1950,3,"Financial",2.767,"private_lf_net_chain","FAAt602","API"
1951,3,"Financial",2.868,"private_lf_net_chain","FAAt602","API"
1952,3,"Financial",2.945,"private_lf_net_chain","FAAt602","API"
1953,3,"Financial",3.089,"private_lf_net_chain","FAAt602","API"
1954,3,"Financial",3.231,"private_lf_net_chain","FAAt602","API"
1955,3,"Financial",3.458,"private_lf_net_chain","FAAt602","API"
1956,3,"Financial",3.684,"private_lf_net_chain","FAAt602","API"
1957,3,"Financial",3.879,"private_lf_net_chain","FAAt602","API"
1958,3,"Financial",4.03,"private_lf_net_chain","FAAt602","API"
1959,3,"Financial",4.212,"private_lf_net_chain","FAAt602","API"
1960,3,"Financial",4.45,"private_lf_net_chain","FAAt602","API"
1961,3,"Financial",4.682,"private_lf_net_chain","FAAt602","API"
1962,3,"Financial",4.97,"private_lf_net_chain","FAAt602","API"
1963,3,"Financial",5.228,"private_lf_net_chain","FAAt602","API"
1964,3,"Financial",5.642,"private_lf_net_chain","FAAt602","API"
1965,3,"Financial",6.116,"private_lf_net_chain","FAAt602","API"
1966,3,"Financial",6.582,"private_lf_net_chain","FAAt602","API"
1967,3,"Financial",7.082,"private_lf_net_chain","FAAt602","API"
1968,3,"Financial",7.788,"private_lf_net_chain","FAAt602","API"
1969,3,"Financial",8.452,"private_lf_net_chain","FAAt602","API"
1970,3,"Financial",9.023,"private_lf_net_chain","FAAt602","API"
1971,3,"Financial",9.697,"private_lf_net_chain","FAAt602","API"
1972,3,"Financial",10.314,"private_lf_net_chain","FAAt602","API"
1973,3,"Financial",11.233,"private_lf_net_chain","FAAt602","API"
1974,3,"Financial",12.394,"private_lf_net_chain","FAAt602","API"
1975,3,"Financial",13.443,"private_lf_net_chain","FAAt602","API"
1976,3,"Financial",14.496,"private_lf_net_chain","FAAt602","API"
1977,3,"Financial",15.523,"private_lf_net_chain","FAAt602","API"
1978,3,"Financial",16.97,"private_lf_net_chain","FAAt602","API"
1979,3,"Financial",18.697,"private_lf_net_chain","FAAt602","API"
1980,3,"Financial",20.645,"private_lf_net_chain","FAAt602","API"
1981,3,"Financial",22.733,"private_lf_net_chain","FAAt602","API"
1982,3,"Financial",24.808,"private_lf_net_chain","FAAt602","API"
1983,3,"Financial",27.025,"private_lf_net_chain","FAAt602","API"
1984,3,"Financial",29.962,"private_lf_net_chain","FAAt602","API"
1985,3,"Financial",33.317,"private_lf_net_chain","FAAt602","API"
1986,3,"Financial",36.783,"private_lf_net_chain","FAAt602","API"
1987,3,"Financial",39.991,"private_lf_net_chain","FAAt602","API"
1988,3,"Financial",43.313,"private_lf_net_chain","FAAt602","API"
1989,3,"Financial",46.964,"private_lf_net_chain","FAAt602","API"
1990,3,"Financial",49.91,"private_lf_net_chain","FAAt602","API"
1991,3,"Financial",51.799,"private_lf_net_chain","FAAt602","API"
1992,3,"Financial",53.517,"private_lf_net_chain","FAAt602","API"
1993,3,"Financial",55.505,"private_lf_net_chain","FAAt602","API"
1994,3,"Financial",57.785,"private_lf_net_chain","FAAt602","API"
1995,3,"Financial",59.768,"private_lf_net_chain","FAAt602","API"
1996,3,"Financial",62.459,"private_lf_net_chain","FAAt602","API"
1997,3,"Financial",65.322,"private_lf_net_chain","FAAt602","API"
1998,3,"Financial",69.556,"private_lf_net_chain","FAAt602","API"
1999,3,"Financial",74.022,"private_lf_net_chain","FAAt602","API"
2000,3,"Financial",77.707,"private_lf_net_chain","FAAt602","API"
2001,3,"Financial",80.215,"private_lf_net_chain","FAAt602","API"
2002,3,"Financial",82.264,"private_lf_net_chain","FAAt602","API"
2003,3,"Financial",83.79,"private_lf_net_chain","FAAt602","API"
2004,3,"Financial",85.645,"private_lf_net_chain","FAAt602","API"
2005,3,"Financial",87.224,"private_lf_net_chain","FAAt602","API"
2006,3,"Financial",89.024,"private_lf_net_chain","FAAt602","API"
2007,3,"Financial",91.355,"private_lf_net_chain","FAAt602","API"
2008,3,"Financial",92.136,"private_lf_net_chain","FAAt602","API"
2009,3,"Financial",90.966,"private_lf_net_chain","FAAt602","API"
2010,3,"Financial",90.334,"private_lf_net_chain","FAAt602","API"
2011,3,"Financial",90.399,"private_lf_net_chain","FAAt602","API"
2012,3,"Financial",91.285,"private_lf_net_chain","FAAt602","API"
2013,3,"Financial",92.229,"private_lf_net_chain","FAAt602","API"
2014,3,"Financial",93.592,"private_lf_net_chain","FAAt602","API"
2015,3,"Financial",95.6,"private_lf_net_chain","FAAt602","API"
2016,3,"Financial",98.048,"private_lf_net_chain","FAAt602","API"
2017,3,"Financial",100,"private_lf_net_chain","FAAt602","API"
2018,3,"Financial",102.204,"private_lf_net_chain","FAAt602","API"
2019,3,"Financial",105.348,"private_lf_net_chain","FAAt602","API"
2020,3,"Financial",106.588,"private_lf_net_chain","FAAt602","API"
2021,3,"Financial",107.849,"private_lf_net_chain","FAAt602","API"
2022,3,"Financial",107.847,"private_lf_net_chain","FAAt602","API"
2023,3,"Financial",108.85,"private_lf_net_chain","FAAt602","API"
2024,3,"Financial",110.483,"private_lf_net_chain","FAAt602","API"
1925,4,"Nonfinancial",10.047,"private_lf_net_chain","FAAt602","API"
1926,4,"Nonfinancial",10.361,"private_lf_net_chain","FAAt602","API"
1927,4,"Nonfinancial",10.62,"private_lf_net_chain","FAAt602","API"
1928,4,"Nonfinancial",10.879,"private_lf_net_chain","FAAt602","API"
1929,4,"Nonfinancial",11.198,"private_lf_net_chain","FAAt602","API"
1930,4,"Nonfinancial",11.394,"private_lf_net_chain","FAAt602","API"
1931,4,"Nonfinancial",11.358,"private_lf_net_chain","FAAt602","API"
1932,4,"Nonfinancial",11.192,"private_lf_net_chain","FAAt602","API"
1933,4,"Nonfinancial",11.011,"private_lf_net_chain","FAAt602","API"
1934,4,"Nonfinancial",10.899,"private_lf_net_chain","FAAt602","API"
1935,4,"Nonfinancial",10.834,"private_lf_net_chain","FAAt602","API"
1936,4,"Nonfinancial",10.881,"private_lf_net_chain","FAAt602","API"
1937,4,"Nonfinancial",11.024,"private_lf_net_chain","FAAt602","API"
1938,4,"Nonfinancial",11.034,"private_lf_net_chain","FAAt602","API"
1939,4,"Nonfinancial",11.065,"private_lf_net_chain","FAAt602","API"
1940,4,"Nonfinancial",11.185,"private_lf_net_chain","FAAt602","API"
1941,4,"Nonfinancial",11.373,"private_lf_net_chain","FAAt602","API"
1942,4,"Nonfinancial",11.359,"private_lf_net_chain","FAAt602","API"
1943,4,"Nonfinancial",11.27,"private_lf_net_chain","FAAt602","API"
1944,4,"Nonfinancial",11.287,"private_lf_net_chain","FAAt602","API"
1945,4,"Nonfinancial",11.464,"private_lf_net_chain","FAAt602","API"
1946,4,"Nonfinancial",11.796,"private_lf_net_chain","FAAt602","API"
1947,4,"Nonfinancial",12.289,"private_lf_net_chain","FAAt602","API"
1948,4,"Nonfinancial",12.768,"private_lf_net_chain","FAAt602","API"
1949,4,"Nonfinancial",13.081,"private_lf_net_chain","FAAt602","API"
1950,4,"Nonfinancial",13.437,"private_lf_net_chain","FAAt602","API"
1951,4,"Nonfinancial",13.873,"private_lf_net_chain","FAAt602","API"
1952,4,"Nonfinancial",14.337,"private_lf_net_chain","FAAt602","API"
1953,4,"Nonfinancial",14.857,"private_lf_net_chain","FAAt602","API"
1954,4,"Nonfinancial",15.295,"private_lf_net_chain","FAAt602","API"
1955,4,"Nonfinancial",15.791,"private_lf_net_chain","FAAt602","API"
1956,4,"Nonfinancial",16.43,"private_lf_net_chain","FAAt602","API"
1957,4,"Nonfinancial",17.063,"private_lf_net_chain","FAAt602","API"
1958,4,"Nonfinancial",17.428,"private_lf_net_chain","FAAt602","API"
1959,4,"Nonfinancial",17.859,"private_lf_net_chain","FAAt602","API"
1960,4,"Nonfinancial",18.394,"private_lf_net_chain","FAAt602","API"
1961,4,"Nonfinancial",18.891,"private_lf_net_chain","FAAt602","API"
1962,4,"Nonfinancial",19.469,"private_lf_net_chain","FAAt602","API"
1963,4,"Nonfinancial",20.087,"private_lf_net_chain","FAAt602","API"
1964,4,"Nonfinancial",20.85,"private_lf_net_chain","FAAt602","API"
1965,4,"Nonfinancial",21.897,"private_lf_net_chain","FAAt602","API"
1966,4,"Nonfinancial",23.191,"private_lf_net_chain","FAAt602","API"
1967,4,"Nonfinancial",24.353,"private_lf_net_chain","FAAt602","API"
1968,4,"Nonfinancial",25.532,"private_lf_net_chain","FAAt602","API"
1969,4,"Nonfinancial",26.785,"private_lf_net_chain","FAAt602","API"
1970,4,"Nonfinancial",27.851,"private_lf_net_chain","FAAt602","API"
1971,4,"Nonfinancial",28.774,"private_lf_net_chain","FAAt602","API"
1972,4,"Nonfinancial",29.871,"private_lf_net_chain","FAAt602","API"
1973,4,"Nonfinancial",31.206,"private_lf_net_chain","FAAt602","API"
1974,4,"Nonfinancial",32.473,"private_lf_net_chain","FAAt602","API"
1975,4,"Nonfinancial",33.27,"private_lf_net_chain","FAAt602","API"
1976,4,"Nonfinancial",34.148,"private_lf_net_chain","FAAt602","API"
1977,4,"Nonfinancial",35.288,"private_lf_net_chain","FAAt602","API"
1978,4,"Nonfinancial",36.747,"private_lf_net_chain","FAAt602","API"
1979,4,"Nonfinancial",38.389,"private_lf_net_chain","FAAt602","API"
1980,4,"Nonfinancial",39.866,"private_lf_net_chain","FAAt602","API"
1981,4,"Nonfinancial",41.369,"private_lf_net_chain","FAAt602","API"
1982,4,"Nonfinancial",42.511,"private_lf_net_chain","FAAt602","API"
1983,4,"Nonfinancial",43.488,"private_lf_net_chain","FAAt602","API"
1984,4,"Nonfinancial",45.011,"private_lf_net_chain","FAAt602","API"
1985,4,"Nonfinancial",46.586,"private_lf_net_chain","FAAt602","API"
1986,4,"Nonfinancial",47.778,"private_lf_net_chain","FAAt602","API"
1987,4,"Nonfinancial",48.751,"private_lf_net_chain","FAAt602","API"
1988,4,"Nonfinancial",49.732,"private_lf_net_chain","FAAt602","API"
1989,4,"Nonfinancial",50.812,"private_lf_net_chain","FAAt602","API"
1990,4,"Nonfinancial",52.07,"private_lf_net_chain","FAAt602","API"
1991,4,"Nonfinancial",53.024,"private_lf_net_chain","FAAt602","API"
1992,4,"Nonfinancial",53.983,"private_lf_net_chain","FAAt602","API"
1993,4,"Nonfinancial",55.216,"private_lf_net_chain","FAAt602","API"
1994,4,"Nonfinancial",56.63,"private_lf_net_chain","FAAt602","API"
1995,4,"Nonfinancial",58.508,"private_lf_net_chain","FAAt602","API"
1996,4,"Nonfinancial",60.657,"private_lf_net_chain","FAAt602","API"
1997,4,"Nonfinancial",63.085,"private_lf_net_chain","FAAt602","API"
1998,4,"Nonfinancial",65.634,"private_lf_net_chain","FAAt602","API"
1999,4,"Nonfinancial",68.412,"private_lf_net_chain","FAAt602","API"
2000,4,"Nonfinancial",71.497,"private_lf_net_chain","FAAt602","API"
2001,4,"Nonfinancial",73.709,"private_lf_net_chain","FAAt602","API"
2002,4,"Nonfinancial",74.824,"private_lf_net_chain","FAAt602","API"
2003,4,"Nonfinancial",75.966,"private_lf_net_chain","FAAt602","API"
2004,4,"Nonfinancial",77.235,"private_lf_net_chain","FAAt602","API"
2005,4,"Nonfinancial",78.81,"private_lf_net_chain","FAAt602","API"
2006,4,"Nonfinancial",80.868,"private_lf_net_chain","FAAt602","API"
2007,4,"Nonfinancial",83.097,"private_lf_net_chain","FAAt602","API"
2008,4,"Nonfinancial",85.085,"private_lf_net_chain","FAAt602","API"
2009,4,"Nonfinancial",85.54,"private_lf_net_chain","FAAt602","API"
2010,4,"Nonfinancial",86.381,"private_lf_net_chain","FAAt602","API"
